,Timestamp,Metadata,Headline,URL,ShortDesc
87,2018-04-06T20:31:17+00:00,, Your Evening Briefing ,https://www.bloomberg.com/news/articles/2018-04-06/your-evening-briefing," excessively tight.” Friday’s jobs report showed wages beginning to rise as hiring cooled in March.Facebook will soon let you retract messages, after CEO Mark Zuckerberg was caught using an early version... "
88,2018-04-06T18:39:07+00:00,view, Stingray Devices in Washington Aren't Alone in Spying on Phones ,https://www.bloomberg.com/view/articles/2018-04-06/stingray-devices-in-washington-aren-t-alone-in-spying-on-phones," may not have spent much time perusing Facebook’s terms of service. The challenge for the privacy-conscious user isn’t third parties; the challenge is Facebook itself, which exists not to connect... "
89,2018-04-06T18:00:13+00:00,technology, Facebook Rolls Out Plan to Battle Fake Ads With More Disclosure ,https://www.bloomberg.com/news/articles/2018-04-06/facebook-rolls-out-plan-to-battle-fake-ads-with-more-disclosure," through those steps won’t be able to run either type, Zuckerberg said in a Facebook post.New political adsSource: FacebookFacebook will hire more people to make the change before the 2018 midterm elections... "
90,2018-01-24T16:25:12+00:00,technology," AT&T Web Rights Proposal Is ‘Ultimate in Hypocrisy,’ Critics Say ",https://www.bloomberg.com/news/articles/2018-01-24/at-t-web-rights-proposal-is-ultimate-in-hypocrisy-critics-say," and protect consumers,” with rules that apply to network operators as well as websites, like Facebook and Google.Internet service providers have called for Congress to step in and create permanent... "
91,2018-01-24T09:00:01+00:00,, Kushner Cos. N.J. Towers Get New Life After Meeting With Mayor ,https://www.bloomberg.com/news/articles/2018-01-24/kushner-cos-n-j-towers-get-new-life-after-meeting-with-mayor," if they submit an application, I don’t foresee the council voting in favor,” Fulop wrote on Facebook.Fortress LoanAfter the missteps, Kushner Cos. and KABR were left to redraw building plans, restructure... "
92,2018-01-23T09:00:00+00:00,politics, Business Groups Spent Big on Lobbying During the Tax Overhaul ,https://www.bloomberg.com/politics/articles/2018-01-23/tax-bill-prompts-business-to-pay-heavily-for-lobbying-campaigns," company executive, alongside executives from Facebook Inc. and Twitter Inc., testified before Congress on Russian activities on their platforms. Facebook spent more than $3 million during the quarter... "
93,2018-01-23T07:30:19+00:00,, Brexit Bulletin: Ask the Turks ,https://www.bloomberg.com/news/articles/2018-01-23/brexit-bulletin-ask-the-turks," don’t know if I would subject Nigel to that.”For more on Brexit follow Bloomberg on Twitter, Facebook and Instagram... "
94,2018-01-22T13:00:00+00:00,technology, Big Tech Is Buying More Clean Energy Than Ever in the Trump Era ,https://www.bloomberg.com/news/articles/2018-01-22/big-tech-is-buying-more-clean-energy-than-ever-in-the-trump-era," Companies, led by tech giants including Apple Inc. and Facebook Inc., are snapping up more clean energy than ever, even as shifting environmental policies from the U.S. to Europe threaten the economics... "
95,2018-01-22T07:47:20+00:00,, Brexit Bulletin: Macron’s Glimmer of Hope ,https://www.bloomberg.com/news/articles/2018-01-22/brexit-bulletin-macron-s-glimmer-of-hope," Peston on ITV on Sunday.Photographer: Simon DawsonFor more on Brexit follow Bloomberg on Twitter, Facebook and Instagram... "
96,2018-01-19T18:40:12+00:00,technology, Facebook Decides Against Thursday Night Football Bid ,https://www.bloomberg.com/news/articles/2018-01-19/facebook-is-said-to-decide-against-thursday-night-football-bid," Facebook Inc., which has spent the last two years buying live sports rights to stream on its social network, is not bidding for the National Football League’s Thursday night package, according... "
97,2018-01-19T15:22:12+00:00,markets, ETF Bargain Hunters Buy $584 Million of Fidelity Funds ,https://www.bloomberg.com/news/articles/2018-01-18/etf-bargain-hunters-snag-584-million-of-low-cost-fidelity-funds," semiconductors and hardware companies. Its largest holdings are Apple Inc., Microsoft Corp., and Facebook Inc.“ETF managers are very focused on cost, so if they’re after certain sector strategies, sometimes... "
98,2018-01-19T10:48:28+00:00,politics, Trump’s First Year Ends on Shutdown Crisis Note ,https://www.bloomberg.com/politics/articles/2018-01-19/trump-s-first-year-ends-on-shutdown-crisis-note," morning? Sign up for the Balance of Power newsletter, and follow Bloomberg Politics on Twitter and Facebook for more.Donald Trump plans to cap his first year in office with a gala at his Mar-a-Lago resort... "
99,2018-01-19T07:35:21+00:00,, Brexit Bulletin: The Lady’s Not for Telling ,https://www.bloomberg.com/news/articles/2018-01-19/brexit-bulletin-the-lady-s-not-for-telling," position? Do you have any other Brexit questions? To keep the discussion going, join our new Facebook group, Brexit Decoded. I’ll be doing a Q&A session at 1 p.m. GMT today. Brexit Latest‘Be My... "
